	WCC0	WCC1	WCC2	WCC3	WCR0	WCR1	WCR2	WCR3
ASV1	7969	10246	9030	7384	13616	1976	1180	1409
ASV2	595	621	657	508	1213	618	326	430
ASV3	0	0	0	0	0	40	782	3187
ASV4	1268	557	565	481	293	33	249	235
ASV5	0	8	5	0	0	2272	596	784
ASV6	694	660	792	626	375	208	103	151
ASV7	0	0	0	0	0	324	938	2186
ASV8	2132	331	266	269	0	0	0	0
ASV9	394	459	303	229	762	232	133	177
ASV10	0	0	3	0	0	75	474	1596
ASV11	0	0	0	0	0	36	361	1672
ASV12	362	380	385	285	406	65	56	50
ASV13	0	0	0	0	0	15	398	1564
ASV14	282	345	316	240	267	99	76	64
ASV15	261	432	467	409	63	0	0	0
ASV16	0	0	0	0	0	71	350	1205
ASV17	263	266	294	254	302	90	34	67
ASV18	345	362	366	276	104	0	32	51
ASV19	392	260	303	239	156	0	0	81
ASV20	192	200	167	157	168	286	112	140
ASV21	274	43	19	14	115	41	224	678
ASV22	458	250	271	210	161	37	0	0
ASV23	356	261	282	234	124	0	20	43
ASV24	144	246	335	236	242	13	38	44
ASV25	231	296	228	186	261	0	38	50
ASV26	0	0	0	0	0	137	305	837
ASV27	0	0	0	0	0	138	333	804
ASV28	140	264	246	278	68	97	62	119
ASV29	220	261	303	218	155	0	41	48
ASV30	0	0	0	0	0	98	239	844
ASV31	162	80	114	103	505	10	113	86
ASV32	290	248	242	194	33	45	22	33
ASV33	200	205	250	233	111	0	44	47
ASV34	229	165	232	274	43	15	65	55
ASV35	286	141	112	98	131	81	52	75
ASV36	201	128	154	128	199	0	0	0
ASV37	0	0	0	0	0	72	189	547
ASV38	0	0	0	0	0	458	152	196
ASV39	105	150	150	162	122	23	41	42
ASV40	6	66	0	0	0	459	102	148
ASV41	0	0	0	0	0	183	207	363
ASV42	93	93	98	55	257	60	39	39
ASV43	22	62	79	64	39	242	90	127
ASV44	128	39	63	58	244	76	39	53
ASV45	79	113	142	115	250	0	0	0
ASV46	110	137	145	73	226	0	0	0
ASV47	81	196	207	164	42	0	0	0
ASV48	138	94	131	103	82	43	37	37
ASV49	226	74	77	125	78	0	31	41
ASV50	0	0	0	0	0	119	194	334
ASV51	0	0	0	0	0	0	139	499
ASV52	258	154	51	49	0	30	47	38
ASV53	0	14	17	16	21	128	182	234
ASV54	162	44	33	42	319	0	0	0
ASV55	128	118	53	0	209	77	0	0
ASV56	413	79	33	59	0	0	0	0
ASV57	92	139	138	121	69	0	0	0
ASV58	130	71	95	86	71	0	42	49
ASV59	0	0	0	0	0	31	136	375
ASV60	73	101	96	74	60	72	35	30
ASV61	48	118	91	95	53	59	27	49
ASV62	0	0	0	0	0	312	96	128
ASV63	20	68	37	28	186	96	41	39
ASV64	0	0	0	0	0	23	105	381
ASV65	166	76	106	98	53	0	0	0
ASV66	67	73	112	143	81	0	0	17
ASV67	48	114	123	85	93	0	16	14
ASV68	198	46	50	67	84	0	0	25
ASV69	121	72	75	87	44	0	28	37
